"ResourceAgencyNum","ParentAgency","PublicName","AlternateName","ParentAgencyNum","MailingAddress1","MailingAddress2","MailingCity","MailingStateProvince","MailingPostalCode","MailingCountry","PhysicalAddress1","PhysicalAddress2","PhysicalCity","PhysicalCounty","PhysicalStateProvince","PhysicalPostalCode","PhysicalCountry","Latitude","Longitude","Phone1Number","Phone2Number","Phone3Number","Phone4Number","Phone5Number","PhoneFax","PhoneTTY","EmailAddressMain","WebsiteAddress","AgencyStatus","AgencyDescription","SearchHints","EnteredOn","UpdatedOn","Coverage","Categories"
47945578,"Alzheimer Society of BC","Alzheimer Resource Centre - North and Central Okanagan","North and Central Okanagan Alzheimer Resource Centre",9487398,"307-1664 Richter Street",,"Kelowna","BC","V1Y 8N3","Canada","307-1664 Richter Street",,"Kelowna",,"BC","V1Y 8N3","Canada",49.88,-119.48,"250-860-0305","1-800-634-3399",,,,"250-860-0418",,"info.kelowna@alzheimerbc.org","www.alzheimer.ca/en/bc","Active","Provides information, education, and support services related to Alzheimer's disease and other dementias. <strong>Early Stage Support Groups</strong> are available for people in early stages of dementia, while <strong>Caregiver Support Groups</strong> are offered to those caring for someone with the disease. <strong>Minds In Motion </strong>provides fitness and social programming for those experiencing early symptoms of Alzheimer's disease or another dementia; a friend, family member, or caregiver can also attend. <strong>Tele-support Group</strong> provides phone support to those unable to attend a support group in person. Resource centre serves Armstrong, Coldstream, Enderby, Kelowna, Lake Country, Lumby, Oyama, Peachland, Revelstoke, Salmon Arm, Sicamous, Sorrento, Vernon, and West Kelowna. Office hours are 9 am to 4 pm Monday to Thursday. Funded in part by Ministry of Health.","Alzheimer Society of BC 47945578",4/25/2017 15:41:00,1/12/2018 12:28:00,"BC - Armstrong; BC - Coldstream; BC - Enderby; BC - Lake Country; BC - Lumby; BC - Oyama; BC - Peachland; BC - Revelstoke; BC - Salmon Arm; BC - Sicamous; BC - Sorrento; BC - Vernon; BC - West Kelowna; BC - Kelowna;","SUPPORT GROUPS * alzheimers disease * Caregivers; SUPPORT GROUPS * alzheimers disease; INFORMATION AND REFERRAL * alzheimers disease; EDUCATION (public awareness) * alzheimers disease; SUPPORT GROUPS * alzheimers disease * Significant Others; LIBRARIES * alzheimers disease; RECREATION * alzheimers disease; FITNESS * alzheimers disease;"
9489692,"ARC Programs Ltd","ARC Programs Ltd",,0,"Head Office","513 Bernard Avenue","Kelowna","BC","V1Y 6N9","Canada","Head Office","513 Bernard Avenue","Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,"arcprograms@arcprograms.com","www.arcprograms.com","Active","A multi-service community agency that provides support, intervention, treatment, and rehabilitative services to children, youth, and families in central and south Okanagan Valley, as well as the Kootenay region. Accredited by CARF. Office hours are 8:30 am to 5 pm Monday to Friday.","9489692",1/1/1900 0:00:00,11/30/2017 15:12:00,"BC - West Kelowna - ; BC - Winfield - ; BC - Summerland - ; BC - Penticton - ; BC - Nelson - ; BC - Nakusp - ; BC - Rock Creek - ; BC - Okanagan Falls - ; BC - Osoyoos - ; BC - Kelowna - ; BC - Oliver - ; BC - Armstrong - ; BC - Vernon - ; BC - Enderby - ;",
9506083,"ARC Programs Ltd","Autism Spectrum Disorder Services/Behavioural Support Program",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","Offers services to children and youth ages six to 18 with autism spectrum disorder, as well as their families and/or caregivers in Central and South Okanagan. Program aims to reduce challenging behaviour and develop pro-social alternatives in the home, school, and community. Services include behaviour assessment and intervention, group-based social skills training, personalized parent training, family intervention, education, and academic skills support. Offered on a fee-for-service basis with financial assistance for autism intervention services available through MCFD.","ARC Programs Ltd 9506083",10/1/2007 0:00:00,9/27/2017 12:49:00,"BC - Summerland - ; BC - Penticton - ; BC - Kelowna - ; BC - Okanagan Falls - ; BC - Oliver - ; BC - Osoyoos - ; BC - West Kelowna - ;","INTERVENTION * autism * Children; INTERVENTION * autism * Youth; INTERVENTION * autism * children * Families; INTERVENTION * autism * youth * Families;"
9505922,"ARC Programs Ltd","Boundaries Program",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","An intensive treatment program offering residential and non-residential support services to youth ages 12-19, who have been convicted of a serious offence, and their families. The residential component is a four-bed, intensive foster care model. The outreach component provides the capacity to support youth that do not require a residential placement, to participate in and benefit from treatment services provided through Youth Forensic Psychiatric Services clinics. Offered in partnership with Youth Forensic Psychiatric Services division of Ministry of Children and Family Development.","ARC Programs Ltd 9505922",10/2/2007 0:00:00,9/27/2017 11:57:00,"BC - Kelowna - ;","COUNSELLING * crime * Offenders * Youth; RESIDENTIAL PROGRAMS * crime * Offenders * Youth;"
9506001,"ARC Programs Ltd","Changes Program",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","Provides a range of alcohol and drug services including targeted prevention, early intervention, and outpatient treatment through several service delivery models. Services provided may include primary prevention activities, community awareness presentations, peer-support development programs, substance misuse assessment, brief counselling intervention, intensive individual treatment, referral, and case management within the addictions/mental health system of care (detox, outpatient, concurrent disorder services, residential treatment, support recovery), alcohol and drug awareness, life skills and harm reduction group series, aftercare planning, and support services.","ARC Programs Ltd 9506001",9/27/2007 0:00:00,9/27/2017 12:44:00,"BC - Kelowna - ;","COUNSELLING * addiction (alcohol and drug); EDUCATION (public awareness) * addiction (alcohol and drug);"
9506003,"ARC Programs Ltd","Choices Program",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","Community-based intervention program provides an alternative to custodial sentencing for youth in conflict with the law. Helps youth address factors leading to their illegal behaviours and improve their functioning in the community. Service is provided on an outreach basis, and includes an individualized case management approach. Referral through MCFD Probation.","ARC Programs Ltd 9506003",9/27/2007 0:00:00,9/27/2017 12:58:00,"BC - Kelowna - ;","INTERVENTION * OUTREACH * Offenders * Youth;"
9507241,"ARC Programs Ltd","Collaborative Youth and Family Services Program",,9489692,,,"Kelowna","BC",,"Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,,"Active","Provides intensive, strength-based, short-term intervention support and counselling to assist youth, ages 14 to 18, to reintegrate and/or remain in their family home. Utilizes an outreach, community-based, family-centred service delivery approach to increase stability and reduce conflict within the home, enhance the skills of parents in supporting the at-risk youth in their homes, and facilitate the youth's involvement in school, employment, and pro-social activities. Serves Central Okanagan area. Offered in collaboration with MCFD Youth Services team.","ARC Programs Ltd 9507241",6/14/2011 0:00:00,5/3/2018 11:08:00,"BC - Kelowna - ; BC - West Kelowna - ;","INTERVENTION * OUTREACH * youth * Families;"
9505907,"ARC Programs Ltd","Family-Based Treatment Program",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","An outreach, community-based mental health service designed to reduce the risk to children/youth and build the capacity of their families, by supporting them to reduce or overcome the negative effects and impact of a serious mental health disorder. In-home family support services and wraparound service planning for each youth and family are delivered in collaboration with Ministry of Children and Family Development Mental Health teams, in north, central, and south Okanagan; services in north Okanagan are delivered in partnership with North Okanagan Youth and Family Services. A referral is required from Kelowna, Vernon, or Penticton Ministry of Children and Family Development, Child and Youth Mental Health. Office hours are 8:30 am to 5 pm Monday to Friday.","ARC Programs Ltd 9505907",10/2/2007 0:00:00,9/27/2017 16:16:00,"BC - Kelowna - ; BC - Vernon - ; BC - Penticton - ;","COUNSELLING * disability (mental health) * Children; COUNSELLING * disability (mental health) * Youth;"
9506004,"ARC Programs Ltd","Intensive Support and Supervision Program (ISSP) - Kelowna",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","Provides an alternative-to-custody sentencing option for youth in conflict with the law, and/or supports the re-integration of high-risk young offenders in the community following a period in custody, assisting youth to address factors leading to their illegal behaviours and improve their functioning in the community. Provides support and monitoring to high-risk young offenders in complying with conditions of their probation order; the service assists the youth probation team in providing supervision to high-risk young offenders in the community. Services include individual counselling, parenting support, recreation, and case management support. Works in conjunction with, and referrals through, the MCFD Probation Team.","ARC Programs Ltd 9506004",9/27/2007 0:00:00,9/27/2017 16:36:00,"BC - Kelowna - ;","SUPERVISION * probation/parole * Offenders * Youth; COMMUNITY CORRECTIONS * Youth;"
9506085,"ARC Programs Ltd","PeNRAP Program",,9489692,"346 Ellis Street",,"Penticton","BC","V2A 4L7","Canada","346 Ellis Street",,"Penticton",,"BC","V2A 4L7","Canada",49.49,-119.59,"250-492-2987",,,,,"250-492-2712",,,"www.arcprograms.com","Active","Offers a community intervention service and day program for youth in conflict with the law, to help them address factors leading to their illegal behaviours and to improve their functioning in the community. Services include group-based life skills programming, individual counselling, pro-social community activities, recreation, and case management support services. Youth must be on probation or subject to the conditions of a diversion agreement; support and monitoring is provided to help youth comply with the conditions. Serves Kaleden, Kelowna, Naramata, Okanagan Falls, Oliver, Osoyoos, Penticton, and Summerland. Referrals through Penticton MCFD Youth Probation.","ARC Programs Ltd 9506085",10/2/2007 0:00:00,9/28/2017 11:27:00,"BC - Kelowna - ; BC - Penticton - ; BC - Summerland - ; BC - Osoyoos - ; BC - Oliver - ; BC - Kaleden - ; BC - Naramata - ; BC - Okanagan Falls - ;","COMMUNITY CORRECTIONS * Youth; SUPERVISION * probation/parole * Offenders * Youth;"
9506084,"ARC Programs Ltd","Support Services for Families (with FASD or Other Complex Developmental-Behavioural Disorders)",,9489692,"513 Bernard Avenue",,"Kelowna","BC","V1Y 6N9","Canada","513 Bernard Avenue",,"Kelowna",,"BC","V1Y 6N9","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,,"Active","Community-based outreach service for children and youth with a diagnosis of FASD or other complex developmental-behavioural disorder, or who are in the process of being assessed. Aims to enhance protective factors, reduce risk factors for the young person, and build the capacity of their families to provide ongoing care. Services include parenting/family education and consultation, individual and family counselling, advocacy, coordination and implementation of assessment recommendations, support for education planning/services, and help accessing other community services. Office hours are 8:30 am to 5 pm Monday to Friday; program hours are generally days and evenings. Funded by MCFD.","ARC Programs Ltd 9506084",10/1/2007 0:00:00,9/28/2017 10:27:00,"BC - Kelowna - ;","OUTREACH * fetal alcohol and drug effects * Children; OUTREACH * fetal alcohol and drug effects * Youth; OUTREACH * children * fetal alcohol and drug effects * Families; OUTREACH * fetal alcohol and drug effects * youth * Families;"
9505921,"ARC Programs Ltd","Youth Services Program",,9489692,"301-1475 Ellis Street",,"Kelowna","BC","V1Y 2A3","Canada","301-1475 Ellis Street",,"Kelowna",,"BC","V1Y 2A3","Canada",49.88,-119.49,"250-763-2977",,,,,"250-763-6060",,,"www.arcprograms.com","Active","Provides case management/service coordination and support services to assist homeless/high-risk youth to address personal barriers to becoming independent. Also supports sexually-exploited youth to reduce their involvement in sexual exploitation-related activities. Primarily supports youth on youth agreements with Ministry of Children and Family Development (MCFD). Provided in cooperation with MCFD Youth Services team and other service providers.","ARC Programs Ltd 9505921",10/2/2007 0:00:00,9/28/2017 11:03:00,"BC - Kelowna - ;","CASE MANAGEMENT * sex trade * youth; CASE MANAGEMENT * homelessness * youth; CASE MANAGEMENT * street involvement * youth;"
49741652,"Arion Therapeutic Farm Community","Arion Therapeutic Farm Community",,0,"2457 Saucier Road",,"Kelowna","BC","V1W 4B8","Canada","2457 Saucier Road",,"Kelowna",,"BC","V1W 4B8","Canada",49.82,-119.43,"778-477-1006",,,,,,,"ariontherapeuticfarm@gmail.com","www.ariontherapeutic.farm","Active","Social enterprise that is an educational and supportive community offering agricultural programs and special events; also offers summer camps for children ages 5 to 13, including those with autism. Through the <strong>Empowerment Program</strong>, at-risk youth or those living with complex special needs (ages 16 to 24) assist with activities on the farm; services and fees are individualized for each participant. <strong>The Riding Club</strong> offers therapeutic riding and horseback riding lessons for children and youth with special needs. Rental space is available with indoor and outdoor venue options. Farm and creative centre hours are 9 am to 5 pm Monday to Saturday, and 10 am to 5 pm Sundays. Membership fees apply; $5 entrance fee for non-members. Nonprofit society, registered charity.","49741652",6/15/2017 14:03:00,2/13/2018 14:48:00,"BC - Kelowna;","HORSEBACK RIDING * disability * Children; HORSEBACK RIDING * disability * Youth; CAMPS (day) * autism * Children; CAMPS (day) * Children; CAMPS (day) * horseback riding * Children; CAMPS (day) * animals * Children; CAMPS (day) * french * Children; RENTAL SPACE;"
9487937,"Autism BC","Autism BC","Autism Society of BC; Autism Society of British Columbia",0,"3688 Cessna Drive",,"Richmond","BC","V6B 1C7","Canada","3688 Cessna Drive",,"Richmond",,"BC","V6B 1C7","Canada",49.28,-123.10,"604-434-0880","1-888-437-0880","250-961-7620","250-212-4075","250-751-9278","604-434-0801",,"info@autismbc.ca","www.autismbc.ca","Active","Parents, professionals, and others work to promote full community inclusion of children and adults with autism spectrum disorders. Offers information and resources, support groups for caregivers, an online discussion forum, a library and resource centre, free tickets to events, ABA summer camp, social events, and workshops for parents and service providers. Hours are 8:30 am to 4:30 pm Monday to Friday, by appointment only. Nonprofit society.","9487937",10/2/1981 0:00:00,10/23/2017 16:06:00,"BC - Nanaimo - ; BC - Prince George - ; BC - ; BC - Richmond; BC - Kelowna;","SUPPORT GROUPS * autism * Caregivers; INFORMATION AND REFERRAL * autism; LIBRARIES * autism; RECREATION * autism; EDUCATION (public awareness) * autism; CAMPS (day) * autism * Children;"
9489851,"Axis Family Resources Ltd","Axis Family Resources Ltd",,0,"Head Office","321 2nd Avenue North","Williams Lake","BC","V2G 2A1","Canada","Head Office","321 2nd Avenue North","Williams Lake",,"BC","V2G 2A1","Canada",52.12,-122.12,"250-392-1000","1-877-392-1003",,,,"250-392-3109",,"info@axis.bc.ca","www.axis.bc.ca","Active","Offers intensive family counselling services, support to caregivers, and community living services to children, youth, and adults. Operates a variety of specialized residential resources across BC including staffed facilities, therapeutic treatment homes, addiction treatment beds, independent living programs, specialized family care homes, and safe beds. Services are accredited by CARF. Funded by Ministry of Children and Family Development (MCFD), Interior Health, Northern Health, Community Living BC (CLBC), delegated First Nation agencies, and Ministry of Attorney General.<br /><br />Regional offices:<br /><br /><u>100 Mile House</u>: 212-472 Birch Place<br /><u>Castlegar</u>: 2-1237 3rd Street<br /><u>Cranbrook</u>: 201 10th Avenue South<br /><u>Creston</u>: 1145 Canyon Street<br /><u>Dawson Creek</u>: 1085 14th Street<br /><u>Kamloops</u>: 651 Victoria Street<br /><u>Kelowna</u>: 210-1511 Sutherland Avenue<br /><u>Kimberley</u>: 395 Wallinger Avenue<br /><u>Prince George</u>: 185 Quebec Street<br /><u>Prince Rupert</u>: 100 1st Avenue West<br /><u>Quesnel</u>: 2nd Floor-469F Anderson Drive<br /><u>Williams Lake</u>: 321 North 2nd Avenue","9489851",1/1/1900 0:00:00,10/6/2017 11:28:00,"BC - Williams Lake - ; BC - Cranbrook; BC - Creston; BC - Castlegar; BC - Kelowna; BC - Kamloops; BC - Prince George; BC - Quesnel; BC - Dawson Creek; BC - 100 Mile House; BC - Prince Rupert; BC - Kimberley;","COMMUNITY LIVING SUPPORT; HOUSING (supportive) * disability (intellectual); HOUSING (supportive) * addiction (alcohol and drug); HOUSING (supportive) * disability (mental health); INTERVENTION * Families;"
10073269,"Axis Family Resources Ltd","Specialized Residential Services (SP Res)",,9489851,,,,"BC",,"Canada",,,,,"BC",,"Canada",,,"250-392-1000","1-877-392-1003",,,,"250-392-3109",,"info@axis.bc.ca","www.axis.bc.ca","Active","Provides various models of specialized residential programs for children, youth and adults with behavioural challenges related to mental health, developmental disabilities, addictions, offending behaviours, compromising medical conditions, FASD, and autism. Programs include family care homes, staffed resources, therapeutic care homes and short stay housing. Serves 100 Mile House, Castlegar, Cranbrook, Creston, Dawson Creek, Fort St John, Kamloops, Kelowna, Nelson, Penticton, Salmon Arm, Trail, Vernon, and Williams Lake.","Axis Family Resources Ltd 10073269",11/8/2012 12:09:00,3/30/2016 14:12:00,"BC - Williams Lake - ; BC - 100 Mile House - ; BC - Dawson Creek - ; BC - Kamloops - ; BC - Vernon - ; BC - Cranbrook - ; BC - Kelowna - ; BC - Penticton - ; BC - Castlegar - ; BC - Creston - ; BC - Trail - ; BC - Salmon Arm; BC - Fort St John; BC - Nelson;","RESIDENTIAL CARE * disability (mental health); RESIDENTIAL CARE * disability (intellectual); RESIDENTIAL PROGRAMS * behaviour problems * children; RESIDENTIAL PROGRAMS * behaviour problems * Youth; RESIDENTIAL CARE * autism; RESIDENTIAL PROGRAMS * autism; RESIDENTIAL PROGRAMS * fetal alcohol and drug effects; RESIDENTIAL PROGRAMS * addiction (alcohol and drug);"
49741392,"Baptist Housing","Baptist Housing",,0,"Vancouver Regional Office","125-6165 Highway 17A","Delta","BC","V4K 5B8","Canada","Vancouver Regional Office","125-6165 Highway 17A","Delta",,"BC","V4K 5B8","Canada",49.09,-123.08,"604-940-1960",,,,,"604-940-1963",,"inquiry@baptisthousing.org","www.baptisthousing.org","Active","Provides affordable, quality seniors housing and care, including subsidized independent living, assisted living, and residential care. Operates subsidized and private pay housing options in Armstrong, Kelowna, Maple Ridge, Oak Bay, Saanich, Salmon Arm, Vancouver, Victoria, and West Kelowna. Office hours are 8 am to 5 pm Monday to Friday. Nonprofit society, registered charity.","49741392",6/15/2017 10:52:00,6/27/2017 15:31:00,"BC - Armstrong; BC - Kelowna; BC - Maple Ridge; BC - Oak Bay; BC - Saanich; BC - Salmon Arm; BC - Vancouver; BC - Victoria; BC - West Kelowna;",
